model,cond,test,cat,dist
Sonnet,c3_authorship,locale_conv (EN→EL),fluency,"{5: np.int64(17), 4: np.int64(2)}"
Sonnet,c3_authorship,mistranslation (EN→ES),addition,"{2: np.int64(11), 3: np.int64(5), 5: np.int64(3)}"
Sonnet,c3_authorship,mistranslation (EN→ES),omission,"{2: np.int64(13), 3: np.int64(3), 5: np.int64(3)}"
Sonnet,c3_authorship,mistranslation (EN→ES),mistranslation,"{2.0: np.int64(6), 3.0: np.int64(5), 5.0: np.int64(3), 4.0: np.int64(3), 1.0: np.int64(2)}"
Sonnet,c3_authorship,mistranslation (EN→ES),fluency,"{5: np.int64(18), 4: np.int64(1)}"
Sonnet,c3_authorship,omission (EN→EL),omission,"{1: np.int64(14), 2: np.int64(5)}"
Sonnet,c3_authorship,omission (EN→EL),fluency,"{5: np.int64(16), 4: np.int64(3)}"
Sonnet,c3_authorship,omission (EN→ES),omission,"{1: np.int64(14), 2: np.int64(5)}"
Sonnet,c3_authorship,redundancy (EN→ES),addition,"{5: np.int64(17), 4: np.int64(1), 3: np.int64(1)}"
Sonnet,c3_authorship,redundancy (EN→ES),redundancy,"{2.0: np.int64(10), 3.0: np.int64(9)}"
Sonnet,c3_authorship,redundancy (EN→ES),fluency,"{5: np.int64(12), 4: np.int64(6), 3: np.int64(1)}"
Sonnet,c3_authorship,ref_clarity (EN→EL),mistranslation,"{5.0: np.int64(15), 4.0: np.int64(4)}"
Sonnet,c3_authorship,ref_clarity (EN→EL),referential_clarity,"{3.0: np.int64(13), 5.0: np.int64(4), 4.0: np.int64(1), 2.0: np.int64(1)}"
Sonnet,c3_authorship,ref_clarity (EN→EL),fluency,"{5: np.int64(17), 4: np.int64(2)}"
Sonnet,c3_authorship,ref_clarity (EN→ES),mistranslation,"{5.0: np.int64(10), 4.0: np.int64(9)}"
Sonnet,c3_authorship,ref_clarity (EN→ES),referential_clarity,"{4.0: np.int64(10), 5.0: np.int64(9)}"
Sonnet,c3_authorship,untranslated (EN→ES),untranslated,"{2: np.int64(17), 1: np.int64(2)}"
Sonnet,c3_authorship,untranslated (EN→ES),terminology,"{5: np.int64(17), 3: np.int64(2)}"
Sonnet,c3_authorship,untranslated (EN→ES),fluency,"{5: np.int64(14), 4: np.int64(3), 3: np.int64(2)}"
